start	end	text
0	19320	詞曲 李宗盛
19320	26000	如果命裡早注定分手
26000	32480	無需為我假意挽留
32480	39120	如果情絲永恆不留
39120	45840	怎會分手
45840	55240	以後讓我已在深秋回憶
55240	61880	世去的愛在深秋回憶
61880	65800	在記憶中的我
65800	73200	今天曾淚流
73200	79520	情抬頭抹去舊事
79520	82800	不必有我
82800	86480	不必有你
86480	89840	愛是可發不可收
89840	93080	你是可愛到永遠
93080	99040	我是真心寫不得你走
99040	108400	有人讓你已在深秋回憶
108400	112240	滅去的我再深頭
112240	118840	回憶在這一刻的你
118840	138880	也曾淚流
138880	148240	以後讓我已在深秋回憶
148240	154920	世去的愛在深秋回憶
154920	158840	在記憶中的我
158840	166240	今天曾淚流
166240	172520	情抬頭抹去舊事
172520	175800	不必有我
175800	179400	不必有你
179400	182840	愛是可發不可收
182840	186120	你是可愛到永遠
186120	192040	我是真心寫不得你走
192040	201400	有人讓你已在深秋回憶
201400	205320	滅去的我再深頭
205320	211920	回憶在這一刻的你
211920	218520	也曾淚流
222040	227040	詞曲 李宗盛
227040	232040	編曲 李宗盛
232040	237040	詞曲 李宗盛
237040	243040	詞曲 李宗盛
