start	end	text
30000	38000	我 只知你 難愛這一生的變化
39000	45000	以後我運醉身 遲疑這滄桑的變化
46000	53000	漫長路走過光陽推薦 歡迎總短暫未再犯
53000	59000	哪個寒頭我無想是平淡
60000	66000	曾遇上幾個終於反 免證我交錯夢幻
67000	75000	曾遇你真心的悲歡 換我都過關
75000	83000	等過終身灰淡 路上紛擾破綻再一關
84000	91000	一天上到輝去大今晚
105000	115000	詞曲 李宗盛
116000	124000	詞曲 李宗盛
125000	131000	千萬不要每天一時間才來
132000	139000	吹雲那淺紗 世裡的光彩不覆滑
140000	146000	只知你 難愛這一生的變化
147000	153000	以後我運醉身 遲疑這滄桑的變化
154000	160000	漫長路走過光陽推薦 歡迎總短暫未再犯
161000	168000	哪個寒頭我無想是平淡
169000	175000	曾遇上幾個終於反 免證我交錯夢幻
176000	183000	曾遇你真心的悲歡 換我都過關
183000	191000	等過終身灰淡 路上紛擾破綻再一關
192000	198000	一天上到輝去大今晚
213000	223000	曾遇上幾個終於反 免證我交錯夢幻
224000	233000	曾遇你真心的悲歡 換我都過關
234000	242000	曾遇你真心的悲歡 換我都過關
243000	250000	等過終身灰淡 路上紛擾破綻再一關
251000	257000	一天上到輝去大今晚
258000	264000	曾遇上幾個終於反 免證我交錯夢幻
265000	272000	曾遇你真心的悲歡 換我都過關
273000	280000	等過終身灰淡 路上紛擾破綻再一關
280000	288000	一天上到輝去大今晚
310000	315000	詞曲 李宗盛
