start	end	text
0	15000	Zither Harp
15000	19000	若這一束調燈傾斜下來
19000	22000	或者我已不會存在
22000	26000	即使你不窩
26000	30000	亦不需要分開
30000	34000	若這一刻我竟厭種癡呆
34000	37000	根本不需要悲哀
37000	41000	永遠再創傷憤怒
41000	47000	如生都不會再悲哀
47000	50000	人總需要勇敢生存
50000	53000	我還是重新許願
53000	60000	例如何會成熟失戀
60000	64000	明年今日必要再失眠
64000	66000	創欲都改變
66000	69000	如我有幸會面
69000	72000	或再同半身分的承認
72000	76000	黃滑地等待你出現
76000	80000	明年今日未見你一年
80000	82000	誰寫得改變
82000	84000	離開你六十年
84000	88000	但願能認得出你的子女
88000	117000	臨別亦聽得到你說再見
117000	120000	人總需要勇敢生存
120000	123000	我還是重新許願
123000	130000	例如何會成熟失戀
130000	134000	明年今日必要再失眠
134000	136000	創欲都改變
136000	138000	如我有幸會面
138000	142000	或再同半身分的承認
142000	146000	黃滑地等待你出現
146000	150000	明年今日未見你一年
150000	152000	誰寫得改變
152000	154000	離開你六十年
154000	158000	但願能認得出你的子女
158000	168000	臨別亦聽得到你說再見
168000	172000	再有生的瞬間能遇到你
172000	175000	景花光所有運氣
175000	179000	到這一再發現
179000	182000	曾呼吸過空氣
202000	204000	詞曲 李宗盛
