start	end	text
0	26000	人間醉了夜更深,在這一刻都沒有之間
26000	33000	只想放肆再搖晃,矛盾也更深
33000	40000	曾被破碎過的心,讓你今天輕輕貼近
40000	47000	多少安慰及疑問,偷偷的再生
47000	54000	情難至今,我的其實屬於極度容易受傷的女人
54000	61000	不要不要不要,走來走去,請珍惜我的心
61000	65000	如明白我繼續情願熱戀
65000	76000	這個容易受傷的女人,不要等這一刻情熱吻
76000	84000	長夜有你總有真,若我終於找到信任
84000	92000	不管一切是言文,快樂是情人
114000	127000	曾害怕了這一生,是你始終更深靠近
127000	134000	我方只擁有了一份,從見我信心
134000	142000	曾被破碎過的心,讓你今天輕輕貼近
142000	149000	多少安慰及疑問,偷偷的再生
149000	156000	情難至今,我的其實屬於極度容易受傷的女人
156000	163000	不要不要不要,走來走去,請珍惜我的心
163000	167000	如明白我繼續情願熱戀
167000	178000	這個容易受傷的女人,不要等這一刻情熱吻
178000	185000	長夜有你總有真,若我終於找到信任
185000	192000	不管一切是言文,快樂是情人
192000	199000	情難至今,我的其實屬於極度容易受傷的女人
199000	206000	不要不要不要,走來走去,請珍惜我的心
206000	210000	如明白我繼續情願熱戀
210000	221000	這個容易受傷的女人,不要等這一刻情熱吻
222000	229000	長夜有你總有真,若我終於找到信任
229000	237000	不管一切是言文,快樂是情人
259000	264000	詞曲 李宗盛
