start	end	text
0	2000	詞曲 李宗盛
30000	37000	三孫更不厭捨棄 我願能一生永遠陪伴你
37000	41000	命運就算點杯流離 命運就算曲折離棋
41000	46000	命運就算恐嚇著你 做人沒趣味 別流淚
46000	53000	三孫更不厭捨棄 我願能一生永遠陪伴你
61000	64000	一生之中兜兜轉轉 哪會看清楚
64000	69000	我往事我也試過獨坐一角 將事抹潔了
69000	72000	再某年哪有少的
72000	77000	我跌倒過 幾多幾多 落淚在雨夜蓬蓬
77000	80000	一生之中彎彎曲曲 我也要走過
80000	84000	從何時有你有你伴我 給我熱烈地拍過
84000	88000	像紅人之火 現點真的我
88000	91000	結伴向千山也定能搭過
91000	96000	楊曼芳 輕輕吹我
96000	100000	本宿著請有花香 像是在祝福你我
100000	104000	楊曼芳 輕輕示我
104000	107000	閃出你每個氣氣雨落火
107000	112000	快要纏收我
113000	115000	命運就算點倍流離
115000	117000	命運就算曲折離棄
117000	120000	命運就算恐嚇著你 做人沒趣味
120000	124000	別流淚 心酸更不應捨棄
124000	128000	我願留一生永遠陪伴你
137000	140000	一生之中兜兜轉轉 哪會看清楚
140000	143000	在旺旺時我也試過獨坐一角
143000	145000	長視沒協助
145000	148000	在某年那有少的
148000	150000	我跌倒過 幾多幾多落淚
150000	153000	再與夜綁脫
153000	156000	一生之中彎彎曲曲 我也要走過
156000	160000	從何時有你有你伴我 給我熱烈地拍過
160000	164000	像紅人之火 現點真的我
164000	168000	結伴向千山也定能搭過
168000	172000	楊萬豐 輕輕吹過
172000	174000	伴送著請有花香
174000	176000	長視再祝福你我
176000	180000	楊萬四 輕輕試過
180000	183000	閃出你每個氣氣雨落火
183000	188000	快要纏收我
189000	191000	命運就算點倍流離
191000	193000	命運就算曲折離棄
193000	196000	命運就算恐嚇著你 做人沒趣味
196000	200000	別流淚 三孫更不應捨棄
200000	204000	我願留一生永遠會伴你
204000	206000	命運就算點倍流離
206000	208000	命運就算曲折離棄
208000	212000	命運就算恐嚇著你 做人沒趣味
212000	216000	別流淚 三孫更不應捨棄
216000	220000	我願留一生永遠會伴你
220000	222000	命運就算點倍流離
222000	224000	命運就算曲折離棄
224000	228000	命運就算恐嚇著你 做人沒趣味
228000	232000	別流淚 三孫更不應捨棄
232000	236000	我願留一生永遠會伴你
236000	238000	命運就算點倍流離
238000	240000	命運就算曲折離棄
240000	244000	命運就算恐嚇著你 做人沒趣味
244000	248000	別流淚 三孫更不應捨棄
248000	252000	我願留一生永遠會伴你
252000	254000	命運就算點倍流離
254000	256000	命運就算曲折離棄
256000	260000	命運就算恐嚇著你 做人沒趣味
260000	264000	別流淚 三孫更不應捨棄
264000	268000	我願留一生永遠會伴你
282000	284000	詞曲 李宗盛
