start	end	text
0	2000	詞曲 李宗盛
31000	36000	詞曲 李宗盛
37000	43000	共你有過最美的海口
44000	50000	共你有過一切風雨有手
52000	57000	共你最過痛過的最後
58000	63000	但我發覺想你不能沒有
66000	72000	在你每次抱怨的眼眸
73000	79000	就我永遠不懂靠你溫柔
81000	86000	別再訴說我能早已分手
88000	93000	將你教我相信意義未夠
94000	101000	但你沒帶走夢裡的所有
102000	108000	讓你走為何讓你看不透
109000	112000	但求你未打黃黃日舊情
112000	114000	我與茫然帶著旅流
114000	116000	恨上一生跟你走
117000	120000	就算天邊海角多小改變一生
120000	123000	只有風中追究不想孤單的逗留
124000	127000	但求你未打黃黃日舊情
127000	129000	我與茫然帶著旅流
129000	131000	恨上一生跟你走
132000	134000	在我心中的你屎海的你
134000	137000	今生不可不能沒有
145000	149000	在你每次抱怨的眼眸
152000	156000	就我永遠不懂靠你溫柔
159000	163000	別再訴說我能早已分手
163000	167000	將我永遠不懂靠你溫柔
170000	174000	別再訴說我能早已分手
177000	181000	將你教我相信意義未夠
183000	189000	但你沒帶走夢裡的所有
190000	197000	讓你走為何讓你看不透
198000	200000	但求你未打黃黃日舊情
200000	202000	我與茫然帶著旅流
202000	204000	恨上一生跟你走
205000	208000	就算天邊海角多小改變一生
208000	212000	只有風中追究不想孤單的逗留
213000	215000	但求你未打黃黃日舊情
215000	217000	我與茫然帶著旅流
217000	219000	恨上一生跟你走
220000	222000	在我心中的你屎海的你
222000	225000	今生不可不能沒有
225000	226000	有
246000	248000	但求你未打黃黃日舊情
248000	250000	我與茫然帶著旅流
250000	252000	恨上一生跟你走
253000	256000	就算天邊海角多小改變一生
256000	260000	只有風中追究不想孤單的逗留
260000	263000	但求你未打黃黃日舊情
263000	265000	我與茫然帶著旅流
265000	267000	恨上一生跟你走
268000	270000	在我心中的你屎海的你
270000	274000	今生不可不能沒有
282000	284000	在我心中的你
284000	286000	今生不可不能沒有
286000	287000	有
287000	288000	有
288000	289000	有
289000	290000	有
290000	291000	有
291000	292000	有
292000	293000	有
293000	294000	有
294000	295000	有
295000	296000	有
296000	297000	有
297000	298000	有
298000	299000	有
299000	300000	有
300000	301000	有
301000	302000	有
302000	303000	有
303000	304000	有
304000	305000	有
305000	306000	有
306000	307000	有
307000	308000	有
308000	309000	有
309000	310000	有
310000	311000	有
311000	312000	有
