start	end	text
0	29000	那天不小心逝去你口上再有欲哭的衷動
29000	36000	認真 生所了的情人 再也無權令手機接通
36000	44000	我應該 不記得為何你吸引 要數自己的不幸
44000	53000	但當我想到你的傳聞 這傷手竟在陣
53000	60000	人都分開戀 唯有親手自己治療
60000	68000	如髮絲絲生理需要 為何眼淚會缺少
68000	76000	原諒為你好 學得出眼淚失眠 至少臨上
76000	82000	想起你如何不對 怎麼還要追
82000	89000	原來相似好 學得出眼淚感情 不准撤退
89000	96000	感激我悶成熟眠 已經知道流淚有罪
96000	103000	承受任何是非都能 捱可去
103000	113000	我都想假裝只得一切 為你當街的出走 有說得過去
113000	127000	Zither Harp
127000	134000	這一刻 不少心想到你的問 難過仍然手本分
134000	143000	為一個不愛我的壞人 我儲得到教訓
143000	150000	人都分開戀 唯有親手自己治療
150000	158000	如髮絲絲生理需要 為何眼淚會缺少
159000	166000	原諒為你好 學得出眼淚失眠 至少臨上
166000	173000	想起你如何不對 怎麼還要追
173000	180000	原來相似好 學得出眼淚感情 不准撤退
180000	187000	感激我悶成熟眠 已經知道流淚有罪
187000	193000	承受任何是非都能 捱可去
193000	204000	我都想假裝只得一切 為你當街的出走 有說得過去
217000	228000	Zither Harp
